№ п/п,№ п/п (по субъектам),"Регистрационный номер в едином государственном реестре объектов культурного наследия (памятников истории 
и культуры) народов Российской Федерации",Наименование объекта культурного наследия,"Датировка, автор",Категория историко-культурного значения объекта культурного наследия,Вид объекта культурного наследия,"Номер акта органа государственной власти
о постановке
на государственную охрану
и о внесении
изменений
в описание*",Тип улицы,Название улицы,Номер дома
22,22,661710817750005,"Дом, в котором жил создатель первой в России водяной турбины И.Е. Софонов",1803-1873 гг.,регионального значения,памятник,454,Улица,Розы Люксембург,30
23,23,661720892020005,"Сад Алапаевского металлургического завода, 
где в 1921 г. выступал 
М.И. Калинин",,регионального значения,ансамбль,454,,"Сад металлургического завода
(на земельном участке: ул.  Ленина, д. 24/1)",
24,24,661710943720005,Аптека,XIX в.,регионального значения,памятник,75,Улица,Смольниковых,39
25,25,661710943710005,Деревянный дом,начало XX в.,регионального значения,памятник,75,Улица,Смольниковых,43
26,26,661710943700005,"Дом, в котором формировался отряд связи под командованием Чернышева",,регионального значения,памятник,75,Улица,Фрунзе,8
27,27,661710943670005,Александровская церковно-приходская школа,1895 г.,регионального значения,памятник,75,Улица,Фрунзе,43
28,28,661710817740005,Свято-Троицкий собор,"1702 г., 
1776 г., 
1793-1841 гг. 
В 1912 г. присвоен соборный статус",регионального значения,памятник,75; 207-ПП,Улица,Чайковского,19
29,29,661710943780006,"Дом, в котором жил Чайковский Петр Ильич 
в 1849-1850 гг.",,федерального значения,памятник,"1327, 
приложение № 1",Улица,Чайковского,30
30,30,661710943690005,Заводской госпиталь,1837 г.,регионального значения,памятник,75,Улица,Шляпиной,1
31,31,661710842370005,Петро-Павловская церковь,"1797-1812 гг., 1821 г., 
1871-1877 гг.",регионального значения,памятник,535; 207-ПП,Улица,Февральская,37
32,32,661720917280006,Система гидротехнических сооружений,1816 г.,федерального значения,ансамбль,636; 624,,Нейво-Шайтанский металлургический завод,
33,33,661710842360006,Молотовое отделение прокатного цеха,1816 г.,федерального значения,памятник,636; 624,,Нейво-Шайтанский металлургический завод,
,,,"Объекты 
археологического наследия",,,,,,,
34,34,661740747060006,Писаница на Коптеловском камне,затруднена,федерального значения,памятник,454,,,
35,35,661740747070006,Писаница на Косом камне,затруднена,федерального значения,памятник,454,,,
36,36,661740747080006,Писаница на Двуглазом камне,затруднена,федерального значения,памятник,454,,,
37,37,661740747090006,Писаница Старичная,затруднена,федерального значения,памятник,454,,,
38,38,661740747110006,"Зеленая зона с глубокой впадиной - ""Кукуйская яма""",,федерального значения,памятник,75,,,
39,39,661740747120006,Стоянка Старичная,эпоха камня,федерального значения,памятник,535,,,
40,40,661740747130006,Стоянка Зырянская I,эпоха камня,федерального значения,памятник,535,,,
41,41,661740747100006,"Стоянка в пещере скалы, писанец",бронза,федерального значения,памятник,75,,,
Алапаевское муниципальное образование,,,,,,,,,,
42,1,661710828680006,Водонапорная башня доменного цеха,"середина 
XIX в.",федерального значения,памятник,636; 624,,"пос. Верхняя Синячиха, 
ул. Советская, д. 22/53",
43,2,661710828700005,Церковь Вознесения,XIX в.,регионального значения,памятник,535,,"с. Голубковское, 
ул. Школьная, д. 2а",
44,3,661710828690005,Дом жилой Ивана Коптелова,1630-1781 гг.,регионального значения,памятник,75,,"с. Коптелово, 
ул. Чапаева, д. 13а",
45,4,661410164250005,Изба клетская бабы Кати,1836-1839 гг.,регионального значения,памятник,75,,"с. Коптелово, 
пер. Пушкина, д. 6б",
46,5,661710842290006,Церковь,1794-1823 гг.,федерального значения,памятник,624,,"с. Нижняя Синячиха,
ул. Первомайская, 
д. 20, корпус 1",
47,6,661420180430005,Музей народного деревянного зодчества под открытым небом:,1971-1988 гг.,регионального значения,ансамбль,75,,с. Нижняя Синячиха,
48,7,661410180430095,часовня Вознесения,"середина
XIX в.",регионального значения,памятник,,,,
49,8,661410180430025,часовня Савватея и Зосимы,начало XIX в.,регионального значения,памятник,,,,
50,9,661410180430065,часовня Ильи Пророка,XVIII в.,регионального значения,памятник,,,,
51,10,661410180430055,часовня Александра Невского,начало XX в.,регионального значения,памятник,,,,
52,11,661410180430045,пожарное депо,"конец
XIX в.",регионального значения,памятник,,,,
53,12,661410180430035,башня сторожевая,начало XX в.,регионального значения,памятник,,,,
54,13,661410180430105,"мельница-шатровка 
из с. Мытищинское",1916 г.,регионального значения,памятник,,,,
55,14,661410180430015,изба из д. Таборы,1802 г.,регионального значения,памятник,,,,
56,15,661410180430115,дом из с. Комельское,1896-1897 гг.,регионального значения,памятник,,,,
57,16,661410180430085,изба из д. Вогулка,1879 г.,регионального значения,памятник,,,,
58,17,661410180430135,амбар из д. Кулича,XIX в.,регионального значения,памятник,,,,
59,18,661510180430145,амбар из. д. Попова,1874 г.,регионального значения,памятник,,,,
60,19,661410180430075,колодец с. Санкино,начало XX в.,регионального значения,памятник,,,,
61,20,661510180430155,амбар из д. Кировское,конец XIX в.,регионального значения,памятник,,,,
62,21,661410180430125,дом жилой,начало XIX в.,регионального значения,памятник,859-ПП,,,
63,22,661730760170005,"Место, где 18 июля 1918 г. 
были казнены Великие князья Романовы",,регионального значения,достопримечательное место,75,,"65-й км автодороги 
г. Нижняя Салда – 
г. Алапаевск, мужской монастырь Новомучеников Российских, корпус 1",
,,,"Объекты 
археологического наследия",,,,,,,
64,23,661740747050006,Гостьковская писаница,средневековье,федерального значения,памятник,454,,,
Артемовский городской округ,,,,,,,,,,
,,,"Объекты 
археологического наследия",,,,,,,
65,1,661740747310006,Пещера в скале с древними надписями,,федерального значения,памятник,"1327, 
приложение № 1",,,
66,2,661740747300006,Стоянка Белый Яр,ранний железный век,федерального значения,памятник,535,,,
Артинский городской округ,,,,,,,,,,
67,1,661710842450005,Бывший дом управляющего заводом (ныне здание заводоуправления),"середина
XIX в.",регионального значения,памятник,636,,"р.п. Арти, механический завод",
68,2,661710842440005,"Здание главного магазина Артинского завода 
(ныне центральный склад)",1840 г.,регионального значения,памятник,636,,"р.п. Арти, механический завод",
Байкаловский муниципальный район,,,,,,,,,,
69,1,661710758360005,Особняк Д.А. Бахарева,1896 г.,регионального значения,памятник,1289-ПП,,"с. Байкалово, 
ул. Советская, д. 2",
70,2,661410159630005,Деревянная часовня,XIX в.,регионального значения,памятник,75,,д. Занина,
71,3,661410159470005,Церковь Святого Павла,XIX в.,регионального значения,памятник,75,,с. Шадринка,
,,,"Объекты 
археологического наследия",,,,,,,
72,4,661640746700006,Боровиковское I городище,X-XIII вв.,федерального значения,памятник,535,,,
73,5,661640746710006,Боровиковское II городище,ранний железный век,федерального значения,памятник,535,,,
74,6,661640746720006,Татарское селище,ранняя бронза,федерального значения,памятник,535,,,
75,7,661640746730006,Городищенская стоянка,поздняя бронза,федерального значения,памятник,535,,,
76,8,661640746740006,Стоянка Еланская,поздняя бронза,федерального значения,памятник,535,,,
77,9,661640746750006,Стоянка Зырянская I,эпоха бронзы,федерального значения,памятник,535,,,
78,10,661640746760006,Стоянка Лыжино II,"неолит, 
ранняя бронза",федерального значения,памятник,535,,,
79,11,661640746770006,Саматовское (Субботинское) городище,"бронза, 
XIV-XV вв.",федерального значения,памятник,535,,,
80,12,661640746780006,Саматовское I поселение,"энеолит, ранняя бронза",федерального значения,памятник,535,,,
81,13,661740746940006,Стоянка Красноярская I,бронзовый век,федерального значения,памятник,535,,,
82,14,661740746950006,Стоянка Красноярская II,бронзовый век,федерального значения,памятник,535,,,
Березовский городской округ,,,,,,,,,,
83,1,661510197940005,Успенская церковь,1868-1874 гг.,регионального значения,памятник,157/8; 207-ПП,,"г. Берёзовский, 
пер. Клубный, д. 1",
84,2,661710842510005,Сретенская церковь,1882-1887 гг.,регионального значения,памятник,16; 207-ПП,,"пос. Старопышминск, 
ул. Волкова, д. 1",
Городской округ Богданович,,,,,,,,,,
,,,"Объекты 
археологического наследия",,,,,,,
85,1,661640747290006,Кашинское городище,ранний железный век,федерального значения,памятник,75,,,
Верхнесалдинский городской округ,,,,,,,,,,
86,1,661710986340005,"Здание бывшей конторы Верхнесалдинского завода, 
где в 1897-1901 гг. работал ученый-металлург Грум-Гржимайло",,регионального значения,памятник,454,,"г. Верхняя Салда, 
ул. Ленина, д. 64",
87,2,661710751490005,"Могила художника 
В.А. Кузнецова",1960 г.,регионального значения,памятник,454,,"г. Верхняя Салда, 
городское кладбище",
,,,"Объекты 
археологического наследия",,,,,,,
88,3,661640735410006,Ст. Бродовая I,"неолит-
ранний железный век",федерального значения,памятник,454,,,
89,4,661640735440006,Ст. Бродовая II,"неолит, 
ранний бронзовый век",федерального значения,памятник,454,,,
90,5,661640735470006,Ст. Исток I,ранний железный век,федерального значения,памятник,454,,,
91,6,661640735480006,Ст. Исток II,"мезолит, ранний железный век",федерального значения,памятник,454,,,
92,7,661640735500006,Ст. Исток III,"мезолит, поздний бронзовый век",федерального значения,памятник,454,,,
93,8,661640735510006,Ст. Кокшарово I,"мезолит, бронзовый век",федерального значения,памятник,454,,,
94,9,661640735520006,"Кокшаровский холм 
и поселение",неолит,федерального значения,памятник,454,,,
95,10,661640735530006,Кокшаровско-Юрьинское стоянка,"мезолит, развитой неолит, 
ранняя бронза",федерального значения,памятник,454,,,
96,11,661640735540006,Ст. Юрьино Х,мезолит,федерального значения,памятник,454,,,
97,12,661640735560006,Юрьинское поселение (болотное),неолит,федерального значения,памятник,75,,,
98,13,661640735550006,Стоянка Кокшарово I(болотная),"мезолит, неолит, энеолит, бронзовый век",федерального значения,памятник,75,,,
99,14,661640735570006,Стоянка Кокшарово VII(болотная),неолит,федерального значения,памятник,75,,,
100,15,661640735590006,Стоянка Кокшарово XVIII,мезолит,федерального значения,памятник,75,,,
101,16,661640735580006,Стоянка Кокшарово XIX,мезолит,федерального значения,памятник,75,,,
Городской округ Верхний Тагил,,,,,,,,,,
102,1,661711304260004,Здание земской школы,1905-1911 гг.,местного (муниципального) значения,памятник,329,,"г. Верхний Тагил, 
ул. Чапаева, д. 3",
Городской округ Верхняя Пышма,,,,,,,,,,
,,,"Объекты 
археологического наследия",,,,,,,
103,1,661640735380006,Ст. Лиственный мыс,"мезолит, неолит",федерального значения,памятник,454,,,
104,2,661640735390006,Ст. Вашты I,неолит - ранний железный век,федерального значения,памятник,454,,,
105,3,661640730410006,Ст. Новая II,"неолит, энеолит",федерального значения,памятник,454,,,
106,4,661640730010006,Сел. Новое III,"энеолит, поздняя бронза",федерального значения,памятник,454,,,
107,5,661640730430006,Посел. Гать,ранний железный век,федерального значения,памятник,454,,,
108,6,661640730390006,Городище у озера,ранний железный век,федерального значения,памятник,454,,,
109,7,661640733370006,Ст. Чернореченская VI (ЛБ),неолит,федерального значения,памятник,454,,,
110,8,661640670010006,Ст. на Большом острове,ранний железный век,федерального значения,памятник,454,,,
111,9,661640670080006,Ст. на Малом острове,"поздний неолит, энеолит",федерального значения,памятник,454,,,
112,10,661640702830006,Ст. Чернореченская II (ПБ),ранняя бронза,федерального значения,памятник,454,,,
113,11,661640670660006,Ст. Чернореченская I,"энеолит, ранняя бронза",федерального значения,памятник,454,,,
114,12,661640670680006,Городище в устье р. Черной,"неолит, 
ранний железный век",федерального значения,памятник,454,,,
115,13,661640670700006,Ст. Исетское ХII,ранняя бронза,федерального значения,памятник,454,,,
116,14,661640668340006,Ст. Исетское ХV,ранний железный век,федерального значения,памятник,454,,,
117,15,661640668410006,Ст. Исетское ХIII и курганная группа Исетское ХIIIа,"энеолит, ранняя бронза",федерального значения,памятник,454,,,
118,16,661640670120006,Поселение Мурзинка,"поздняя бронза,
ранний железный век",федерального значения,памятник,454,,,
119,17,661640733190006,Ст. Шиты I,"неолит – 
ранняя бронза",федерального значения,памятник,454,,,
120,18,661640733240006,Ст. Шитовской Исток III,"неолит – 
ранняя бронза",федерального значения,памятник,454,,,
121,19,661640733290006,Ст. Шитовской Исток VIII,ранняя бронза,федерального значения,памятник,454,,,
122,20,661640733310006,Ст. Шитовской Исток IХ,"мезолит, ранний железный век",федерального значения,памятник,454,,,
123,21,661640733320006,Ст. Шитовской Исток Х,"ранняя бронза, ранний железный век",федерального значения,памятник,454,,,
124,22,661640733000006,Стоянка Шувакишский Исток V,энеолит - ранний железный век,федерального значения,памятник,535,,,
125,23,661640733030006,Стоянка Шувакишский Исток VI,энеолит - ранний железный век,федерального значения,памятник,535,,,
126,24,661640732940006,Стоянка Шувакишский Исток VII,ранний железный век,федерального значения,памятник,535,,,
127,25,661640732930006,Стоянка Шувакишский Исток VIII,"энеолит, железный век",федерального значения,памятник,535,,,
128,26,661640733060006,Стоянка Шувакишский Исток IХ,ранний железный век,федерального значения,памятник,535,,,
129,27,661640730470006,"Стоянка «Калмацкий Брод» 
и могильник сарматского времени",,федерального значения,памятник,"1327, 
приложение № 1;
452; 1306-п",,,
Городской округ Верхотурский,,,,,,,,,,
130,1,661721249840006,"Комплекс зданий 
XVII–XVIII вв.",,федерального значения,ансамбль,"1327, 
приложение № 1",,г. Верхотурье,
131,2,661711249840046,"Собор Троицы, колокольня",1708 г.,федерального значения,памятник,,,"ул. Советская, д. 6",
132,3,661711249840016,Ограда,,федерального значения,памятник,,,"ул. Советская, д. 6",
133,4,661711249840026,Ворота,,федерального значения,памятник,,,"ул. Советская, д. 6",
134,5,661711249840036,Дом воеводы,1698 г.,федерального значения,памятник,,,"ул. Советская, д. 4",
135,6,661721298470005,Верхотурский Кремль,,регионального значения,ансамбль,75,,ул. Советская,
136,7,661711298470015,Амбары,XVIII-XX вв.,регионального значения,памятник,,,"ул. Советская, д. 8 «А»",
137,8,661720944220006,Ансамбль Николаевского монастыря,1790-1909 гг.,федерального значения,ансамбль,16; 75; 176,,"ул. Воинская, д. 1 «А»",
138,9,661710944220116,"монастырская ограда 
с башнями",,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
139,10,661710944220106,собор Крестовоздвиженский,1905-1909 гг.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
140,11,661710944220136,собор Преображенский,1821-1837 гг.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
141,12,661710944220036,церковь над «Святыми вратами»,1854 г.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
142,13,661710944220126,деревянная гостиница,1863 г.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
143,14,661710944220096,каменная гостиница,1876 г.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
144,15,661710944220166,дом игумена,"1800-1808 гг.,
XIX в.",федерального значения,памятник,16; 75,,"ул. Воинская, д. 1 «А»",
145,16,661710944220086,трапезная и кухня,1790 г.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
146,17,661710944220076,братский корпус № 3,1899-1902 гг.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
147,18,661710944220026,братский корпус № 4,1899-1902 гг.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
148,19,661710944220066,братский корпус № 5,1899-1902 гг.,федерального значения,памятник,16,,"ул. Воинская, д. 1 «А»",
149,20,661710944220056,приходская школа,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
150,21,661710944220156,больница,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
151,22,661710944220046,магазин икон,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
152,23,661710944220176,дом бедных,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
153,24,661710944220186,дом причта,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
154,25,661710944220206,баня,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
155,26,661710944220196,колодец,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
156,27,661710944220216,конюшня,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
157,28,661710944220146,запасники,,федерального значения,памятник,75,,"ул. Воинская, д. 1 «А»",
158,29,661720995170006,Покровский монастырь,XVIII-XIX вв.,федерального значения,ансамбль,624,,"ул. Сенянского, д. 3",
159,30,661710995170036,Покровская церковь,"начало
XVIII вв.",федерального значения,памятник,,,"ул. Комсомольская, 
д. 4 «А»",
160,31,661710995170016,церковь Иоанна Предтечи,"начало
XVIII вв.",федерального значения,памятник,,,"ул. Клубная, д. 1",
161,32,661710995170026,здание служб,XIX в.,федерального значения,памятник,,,"ул. Комсомольская, 
д. 4 «Б»",
162,33,661721097490005,Покровский женский монастырь,,регионального значения,ансамбль,75,,,
163,34,661711097490015,Покровская церковь,1902 г.,регионального значения,памятник,,,"ул. Клубная, д. 6",
164,35,661711097490055,жилой корпус,начало XX в.,регионального значения,памятник,,,"ул. Клубная, д. 2",
165,36,661711097490045,гостиница,начало XX в.,регионального значения,памятник,,,"ул. Клубная, д. 8",
166,37,661711097490035,строение хозяйственное,XVIII в.,регионального значения,памятник,,,"ул. Комсомольская, 
д. 4 «Б»",
167,38,661711097490025,амбары с оградой,,регионального значения,памятник,,,"ул. Сенянского, д. 1",
168,39,,Главный корпус,"1903 г., 1910 г.",регионального значения,памятник,561,,"ул. Сенянского, д. 3",
169,40,661710830890005,Жилой дом,XVIII век (?),регионального значения,памятник,75,,"ул. Большая, д. 26",
170,41,661710828550005,Ветлечебница,начало XX в.,регионального значения,памятник,75,,"ул. Воинская, д. 9",
171,42,661710830880005,Дом с мезонином,начало XX в.,регионального значения,памятник,75,,"ул. Володарского, д. 6",
172,43,661710829620005,Церковь Успения Пресвятой Богородицы,1799-1815 гг.,регионального значения,памятник,535,,"ул. Гагарина, д. 27а",
173,44,661710829640005,Жилой дом,,регионального значения,памятник,75,,"ул. Гагарина, д. 44",
174,45,661710828540005,Жилой дом,,регионального значения,памятник,75,,"ул. Дементьева, д. 7",
175,46,661710829510005,Жилой дом с мезонином,,регионального значения,памятник,75,,"ул. Дидковского, д. 1",
176,47,661710829530005,Жилой дом,,регионального значения,памятник,75,,"ул. Дидковского, д. 5",
177,48,661710829550005,Жилой дом,,регионального значения,памятник,75,,"ул. Дидковского, д. 9",
178,49,661711305260006,Амбар (деревянный),"первая половина 
XIX в.",федерального значения,памятник,624,,"ул. Ершова, д. 4 «А»",
179,50,661721249940005,Комплекс:,,регионального значения,ансамбль,75,,"ул. Ершова, д. 4",
180,51,661711249940015,жилой дом,,регионального значения,памятник,,,"ул. Ершова, д. 4",
181,52,661711097510005,Деревянная лавка,начало XX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 3",
182,53,661710828620005,Здание общественного собрания,начало XX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 2",
183,54,661710828630005,Каменная лавка,XIX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 4",
184,55,661710828640005,Жилой дом с магазинами,XIX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 5",
185,56,661710828650005,Каменная лавка,XIX в.,регионального значения,памятник,75,,"ул. Карла Маркса, д. 7",
186,57,661710828660005,Жилой дом,,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 17",
187,58,661710829460005,Общественное здание,XIX в.,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 18",
188,59,661710828670005,Жилой дом,,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 21",
189,60,661721097500005,Городская усадьба,XIX-XX вв.,регионального значения,ансамбль,75,,"ул. Карла Маркса, 
д. 29",
190,61,661711097500025,жилой дом,XIX-XX вв.,регионального значения,памятник,,,"ул. Карла Маркса, 
д. 29",
191,62,661711097500015,флигель,XIX-XX вв.,регионального значения,памятник,,,"ул. Карла Маркса, 
д. 29 «А»",
192,63,661711097500035,амбар,XIX-XX вв.,регионального значения,памятник,,,"ул. Карла Маркса, 
д. 29 «Б»",
193,64,661710828610005,Жилой дом,,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 30",
194,65,661710917200005,Жилой дом,,регионального значения,памятник,75,,"ул. Карла Маркса, 
д. 34",
195,66,661721035360005,Уездная больница,,регионального значения,ансамбль,75,,ул. Комсомольская,
196,67,661711035360035,аптека,,регионального значения,памятник,,,"ул. Комсомольская, 
д. 10",
197,68,661711035360015,приемная врача,,регионального значения,памятник,,,"ул. Комсомольская, 
д. 6",
198,69,661711035360025,главный корпус,,регионального значения,памятник,,,"ул. Комсомольская, 
д. 8",
199,70,661710828600005,Жилой дом с образцовым фасадом,"первая половина 
XIX в.",регионального значения,памятник,75,,"ул. Комсомольская, 
д. 19",
200,71,661710917190005,Жилой дом,,регионального значения,памятник,75,,"ул. Красноармейская, д. 5",
201,72,661720917180005,Усадьба,конец XIX в.,регионального значения,ансамбль,75,,"ул. Крестьянская, д. 14",
202,73,661710917180015,жилой дом,конец XIX в.,регионального значения,памятник,,,"ул. Крестьянская, д. 14",
203,74,661710917180025,амбар,конец XIX в.,регионального значения,памятник,,,"ул. Крестьянская, д. 14",
204,75,661710917180035,ворота,конец XIX в.,регионального значения,памятник,,,"ул. Крестьянская, д. 14",
205,76,661710829590005,Дом почетных гостей,1913 г.,регионального значения,памятник,535,,"пер. Кузнечный, д. 14",
206,77,661710820920005,Каменный дом с чайной лавкой,XIX в.,регионального значения,памятник,75,,"ул. Ленина, д. 1",
207,78,661410161560005,Каменная лавка,XIX в.,регионального значения,памятник,75,,"ул. Ленина, д. 5",
208,79,661720986270005,Комплекс торговых заведений,XIX в.,регионального значения,ансамбль,75,,"ул. Ленина, д. 9-11",
209,80,661711097520005,Склад винный казенный,1906 г.,регионального значения,памятник,535,,"ул. Ленина, д. 13",
210,81,661720986280005,Склад винный казенный,начало XX в.,регионального значения,ансамбль,75,,"ул. Ленина, д. 13",
211,82,661710986280015,дом управляющего,начало XX в,регионального значения,памятник,,,"ул. Ленина, д. 13",
212,83,661710986280025,вспомогательный корпус,начало XX в,регионального значения,памятник,,,"ул. Ленина, д. 13",
213,84,661710986280035,одноэтажный корпус,начало XX в,регионального значения,памятник,,,"ул. Ленина, д. 13",
214,85,661710986300005,Жилой дом,начало XX в.,регионального значения,памятник,75,,"ул. Ленина, д. 21",
215,86,661721035370005,Усадьба,XIX в.,регионального значения,ансамбль,75,,"ул. Ленина, д. 27",
216,87,661711035370015,дом с мезонином,,регионального значения,памятник,,,,
217,88,661711035370025,амбар,,регионального значения,памятник,,,,
218,89,661720986310005,Комплекс,начало XX в.,регионального значения,ансамбль,75,,,
219,90,661710986310035,жилой дом в «кирпичном стиле»,начало XX в.,регионального значения,памятник,,,"ул. Ленина, д. 31",
220,91,661710986310025,деревянный флигель,начало XX в.,регионального значения,памятник,,,"ул. Ленина, д. 29",
221,92,661710986310015,ворота,начало XX в.,регионального значения,памятник,,,,
222,93,661410161710005,Жилой дом,XIX-XX вв.,регионального значения,памятник,75,,"ул. Ленина, д. 32",
223,94,661410161890005,Жилой дом,,регионального значения,памятник,75,,"ул. Ленина, д. 41",
224,95,661710986290005,Жилой дом,начало XX в.,регионального значения,памятник,75,,"ул. Ленина, д. 54",
225,96,661710917220005,Жилой дом,начало XX в.,регионального значения,памятник,75,,"ул. Мальцева, д. 12",
226,97,661710828560005,Жилой дом,начало XX в.,регионального значения,памятник,75,,"ул. Малышева, д. 12",
227,98,661720944210005,Жилой комплекс,начало XX в.,регионального значения,ансамбль,75,,"ул. Малышева, д. 28",
228,99,661710944210015,дом жилой,начало XX в.,регионального значения,памятник,,,"ул. Малышева, д. 28",
229,100,661710944210025,амбар,начало XX в.,регионального значения,памятник,,,"ул. Малышева, д. 28",
230,101,661710944210035,амбар,начало XX в.,регионального значения,памятник,,,"ул. Малышева, д. 28",
231,102,661710944210045,ворота,начало XX в.,регионального значения,памятник,,,"ул. Малышева, д. 28",
232,103,661710830900005,"Дом, в котором родился и жил уральский революционер 
И. Малышев",,регионального значения,памятник,535,,"ул. Малышева, д. 32",
233,104,661410162210005,Дом жилой,конец XIX в.,регионального значения,памятник,75,,"ул. Огарьевская, д. 23",
234,105,661710917230005,Дом жилой,XIX в.,регионального значения,памятник,75,,"ул. Республиканская, д. 4",
235,106,661410161840005,Церковь Знамения,1778-1802 гг.,регионального значения,памятник,535,,"ул. Свердлова, д. 9",
236,107,661710917210005,Дом жилой,начало XX в.,регионального значения,памятник,75,,"ул. Свердлова, д. 24",
237,108,661720817760005,Реальное училище,1910-е гг.,регионального значения,ансамбль,75; 207-ПП,,"ул. Сенянского, д. 12",
238,109,661710817760025,корпус учебный,,регионального значения,памятник,,,"ул. Сенянского, д. 12",
239,110,661720817760015,парк,,регионального значения,ансамбль,,,"ул. Сенянского, 
д. 12 «Б»",
240,111,661710917240005,Дом жилой,XIX-XX вв.,регионального значения,памятник,75,,"ул. Сенянского, д. 28",
241,112,661710829490005,Воскресенская церковь,"1786 г., 
1806 г.",регионального значения,памятник,75; 207-ПП,,"ул. Советская, д. 1 «Б»",
242,113,661410162410005,Гимназия женская,1906 г.,регионального значения,памятник,535,,"ул. Советская, д. 10",
243,114,661710828590005,Дом жилой,XIX в.,регионального значения,памятник,75,,"ул. Советская, д. 11",
